EnergyImpactID,Version,VersionSource,LastMod,PA,BldgType,BldgVint,BldgLoc,BldgHVAC,NormUnit,NumUnit,MeasArea,ScaleBasis,APreWBkWh,APreWBkW,APreWBtherm,APreWBkWh,APreWBkW,APreWBtherm,APreEUkWh,APreEUkW,APreEUtherm,AStdEUkWh,AStdEUkW,AStdEUtherm,ElecImpactProfileID,GasImpactProfileID,Flag,SourceDesc,APreUseWBkWh,APreUseWBtherm,AStdUseWBkWh,AStdUseWBtherm,AMsrUseWBkWh,AMsrUseWBtherm,APreUseEUkWh,APreUseEUtherm,AStdUseEUkWh,AStdUseEUtherm,AMsrUseEUkWh,AMsrUseEUtherm
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ15,cDXHP,Each,1,68000,None,5110,0,0,5110,0,0,,,,,,,,,20,,943580,631.85,,,938470,631.85,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ16,cDXHP,Each,1,68000,None,9630,0.305,0,9630,0.305,0,,,,,,,,,20,,764360,813.51,,,754730,813.51,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ01,cDXOH,Each,1,68000,None,5430,1.92,0,5430,1.92,0,,,,,,,,,20,,518620,827.22,,,513190,827.22,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ02,cDXOH,Each,1,68000,None,6530,0.524,0,6530,0.524,0,,,,,,,,,20,,615780,786.17,,,609250,786.17,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ03,cDXOH,Each,1,68000,None,9970,0.898,0,9970,0.898,0,,,,,,,,,20,,571380,779.35,,,561410,779.35,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ04,cDXOH,Each,1,68000,None,6310,0,0,6310,0,0,,,,,,,,,20,,689890,762.24,,,683570,762.24,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ05,cDXOH,Each,1,68000,None,9320,1.84,0,9320,1.84,0,,,,,,,,,20,,582200,782.16,,,572890,782.16,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ06,cDXOH,Each,1,68000,None,11000,0.303,0,11000,0.303,0,,,,,,,,,20,,636400,734.11,,,625430,734.11,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ07,cDXOH,Each,1,68000,None,10000,0,0,10000,0,0,,,,,,,,,20,,639000,728.37,,,628970,728.37,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ08,cDXOH,Each,1,68000,None,8000,0,0,8000,0,0,,,,,,,,,20,,698800,716.94,,,690810,716.94,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ09,cDXOH,Each,1,68000,None,7960,0,0,7960,0,0,,,,,,,,,20,,710670,720.86,,,702710,720.86,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ10,cDXOH,Each,1,68000,None,6540,0,0,6540,0,0,,,,,,,,,20,,728280,713.91,,,721730,713.91,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ11,cDXOH,Each,1,68000,None,4880,0,0,4880,0,0,,,,,,,,,20,,750280,727.81,,,745400,727.81,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ12,cDXOH,Each,1,68000,None,6250,0,0,6250,0,0,,,,,,,,,20,,678880,753.51,,,672630,753.51,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ13,cDXOH,Each,1,68000,None,5250,0,0,5250,0,0,,,,,,,,,20,,761520,716.64,,,756270,716.64,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ14,cDXOH,Each,1,68000,None,6330,0,0,6330,0,0,,,,,,,,,20,,768000,732.16,,,761670,732.16,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ15,cDXOH,Each,1,68000,None,5010,0,0,5010,0,0,,,,,,,,,20,,933860,631.85,,,928850,631.85,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ16,cDXOH,Each,1,68000,None,9130,0.3,0,9130,0.3,0,,,,,,,,,20,,654270,813.51,,,645140,813.51,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ01,cPVVG,Each,1,68000,None,4700,1.7,-0.00614,4700,1.7,-0.00614,,,,,,,,,20,,415290,7525.5,,,410590,7525.5,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ02,cPVVG,Each,1,68000,None,5620,0.478,-0.00478,5620,0.478,-0.00478,,,,,,,,,20,,500460,5856.8,,,494840,5856.8,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ03,cPVVG,Each,1,68000,None,8600,0.813,-0.0041,8600,0.813,-0.0041,,,,,,,,,20,,468010,3652,,,459400,3652,,,,,,
