EnergyImpactID,Version,VersionSource,LastMod,PA,BldgType,BldgVint,BldgLoc,BldgHVAC,NormUnit,NumUnit,MeasArea,ScaleBasis,APreWBkWh,APreWBkW,APreWBtherm,AStdWBkWh,AStdWBkW,AStdWBtherm,APreEUkWh,APreEUkW,APreEUtherm,AStdEUkWh,AStdEUkW,AStdEUtherm,ElecImpactProfileID,GasImpactProfileID,Flag,SourceDesc,APreUseWBkWh,APreUseWBtherm,AStdUseWBkWh,AStdUseWBtherm,AMsrUseWBkWh,AMsrUseWBtherm,APreUseEUkWh,APreUseEUtherm,AStdUseEUkWh,AStdUseEUtherm,AMsrUseEUkWh,AMsrUseEUtherm
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,ECC,Ex,CZ14,cWtd,Each,1,284000,None,19200,16,1600,,,,,,,,,,,,20,"",2712024.54,24354.76109215017,,,2692840.41,22756.725938566553,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,ECC,Ex,CZ15,cWtd,Each,1,284000,None,56400,16,577,,,,,,,,,,,,20,"",3474387.7400000007,17929.986006825937,,,3418003.18,17352.592150170647,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,ECC,Ex,CZ16,cWtd,Each,1,284000,None,-25600,-2.21,2930,,,,,,,,,,,,20,"",2174925.0300000003,34273.818771331054,,,2200525.83,31341.56109215017,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,EPr,Ex,CZ01,cWtd,Each,1,40700,None,1890,0.518,142,,,,,,,,,,,,20,"",228763.37,6831.614675767918,,,226870.71,6689.509897610922,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,EPr,Ex,CZ02,cWtd,Each,1,40700,None,4070,1.34,67,,,,,,,,,,,,20,"",246572.56,5722.644027303754,,,242505.86,5655.595221843003,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,EPr,Ex,CZ03,cWtd,Each,1,40700,None,3450,1.17,34.5,,,,,,,,,,,,20,"",233996.19999999998,5168.045051194539,,,230541.33000000002,5133.509897610921,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,EPr,Ex,CZ04,cWtd,Each,1,40700,None,4980,1.91,40.1,,,,,,,,,,,,20,"",264360.27,5315.863481228668,,,259377.66,5275.729010238907,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,EPr,Ex,CZ05,cWtd,Each,1,40700,None,3860,1.01,18.6,,,,,,,,,,,,20,"",235761.18,5173.24709897611,,,231897.47999999998,5154.6638225255965,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,EPr,Ex,CZ06,cWtd,Each,1,40700,None,3660,0.984,12.9,,,,,,,,,,,,20,"",246383.86,4362.2372013651875,,,242726.81,4349.378839590443,,,,,,
NB-Fenest-ManufWin,DEER2024,D24_E+_Com_v1,2026-09-14 20:09:17,Any,EPr,Ex,CZ07,cWtd,Each,1,40700,None,3990,1.47,10.2,,,,,,,,,,,,20,"",244772.62,4321.325938566553,,,240779.33000000002,4311.105119453925,,,,,,
