TechID,SizingID,BldgType,BldgVint,BldgLoc,BldgHVAC,tstat,normunit,numunits,measarea,kwh_tot,kwh_ltg,kwh_task,kwh_equip,kwh_htg,kwh_clg,kwh_twr,kwh_aux,kwh_vent,kwh_venthtg,kwh_ventclg,kwh_refg,kwh_hpsup,kwh_shw,kwh_ext,thm_tot,thm_equip,thm_htg,thm_shw,deskw_ltg,deskw_equ,lastmod
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,SCn,Ex,CZ08,cDXHP,0,Each,1.0,499990.41934355197,3179838.35,850055.03,0,449066.39,43072.78,487623.63,0,0,1350017.16,0,0,0.0,0,0,0,2644.6245733788396,0.0,0.0,2644.6245733788396,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,SCn,Ex,CZ07,cDXHP,0,Each,1.0,499990.41934355197,2843687.65,850055.03,0,449066.39,31814.39,255655.0,0,0,1257093.48,0,0,0.0,0,0,0,2700.547781569966,0.0,0.0,2700.547781569966,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,SCn,Ex,CZ06,cDXHP,0,Each,1.0,499990.41934355197,2747378.4899999998,850055.03,0,449066.39,37197.36,202359.32,0,0,1208697.03,0,0,0.0,0,0,0,2728.762457337884,0.0,0.0,2728.762457337884,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,SCn,Ex,CZ05,cDXHP,0,Each,1.0,499990.41934355197,2973957.38,850055.03,0,449066.39,106495.77,82125.62,0,0,1486211.21,0,0,0.0,0,0,0,2962.681228668942,0.0,0.0,2962.681228668942,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,SCn,Ex,CZ04,cDXHP,0,Each,1.0,499990.41934355197,3595588.7399999998,850055.03,0,449066.39,151009.3,485926.81,0,0,1659527.85,0,0,0.0,0,0,0,2865.1409556313993,0.0,0.0,2865.1409556313993,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,SCn,Ex,CZ03,cDXHP,0,Each,1.0,499990.41934355197,2894475.39,850055.03,0,449066.39,132482.13,64887.06,0,0,1397981.42,0,0,0.0,0,0,0,2949.0020477815697,0.0,0.0,2949.0020477815697,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,SCn,Ex,CZ02,cDXHP,0,Each,1.0,499990.41934355197,3344884.7600000002,850055.03,0,449066.39,184243.23,253358.89,0,0,1608157.86,0,0,0.0,0,0,0,2981.970989761092,0.0,0.0,2981.970989761092,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,SCn,Ex,CZ01,cDXHP,0,Each,1.0,499990.41934355197,3154486.63,850055.03,0,449066.39,286516.51,1719.46,0,0,1567125.88,0,0,0.0,0,0,0,3182.172354948805,0.0,0.0,3182.172354948805,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,None,SCn,Ex,CZ16,cDXGF,0,Each,1.0,499990.41934355197,3327128.5799999996,850055.03,0,449066.39,0.0,197583.77,0,0,1830420.03,0,0,0.0,0,0,0,54627.35972696246,0.0,51512.4590443686,3114.9006825938563,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst,None,SCn,Ex,CZ15,cDXGF,0,Each,1.0,499990.41934355197,4397927.160000001,850055.03,0,449066.39,0.0,1409949.69,0,0,1688852.69,0,0,0.0,0,0,0,6159.589761092149,0.0,3931.6440273037542,2227.945733788396,1,1,2026-07-16 22:51:30.560719
